Node	dA	dNL	dNC	dH	dLCP	dIIC	dIICintra	dIICflux	dIICconnector	dF	dAWF	dPC	dPCintra	dPCflux	dPCconnector	
29	0.0694927	0.5284889	0.0000000	0.4265922	0.1389371	0.1393750	0.0002773	0.1363007	0.0002381	0.4226615	0.1535536	0.1431573	0.0006289	0.1426106	0.0014641	
30	0.2779708	0.6110652	0.0000000	0.4374774	0.5551689	0.5510965	0.0044364	0.5437538	0.0003474	0.4715305	0.6018578	0.5728748	0.0100620	0.5331261	0.0312330	
31	0.0694927	0.4789430	0.0000000	0.4183041	0.1389371	0.1334395	0.0002773	0.1329438	-0.0023405	0.4328748	0.1322896	0.1278973	0.0006289	0.1225578	0.0062568	
32	0.0694927	0.0660611	0.0000000	0.2732887	0.1389371	0.0996724	0.0002773	0.0993130	-0.0024768	0.2691726	0.0752179	0.0822646	0.0006289	0.0696777	0.0135043	
33	0.2084781	0.6110652	0.0000000	0.3978254	0.4165216	0.3797047	0.0024955	0.3773765	-0.0027262	0.4530319	0.4903859	0.5591083	0.0056599	0.4601473	0.0948475	
34	0.1389854	0.5450041	0.0000000	0.4277733	0.2777776	0.2728404	0.0011091	0.2716771	-0.0025046	0.4516852	0.3224862	0.3858732	0.0025155	0.3032631	0.0816409	
35	0.1389854	0.5284889	0.0000000	0.3889778	0.2777776	0.2512735	0.0011091	0.2499207	-0.0023152	0.4446898	0.3130178	0.4048377	0.0025155	0.3034715	0.1003969	
36	0.0694927	0.4128819	0.0000000	0.4044490	0.1389371	0.1337861	0.0002773	0.1332744	-0.0023245	0.3950057	0.1431926	0.1414082	0.0006289	0.1404437	0.0018820	
37	0.1389854	0.4789430	0.0000000	0.3822712	0.2777776	0.2508489	0.0011091	0.2494906	-0.0023097	0.4350436	0.3137638	0.2947650	0.0025155	0.2686826	0.0251133	
38	0.2084781	0.5615194	0.0000000	0.4277388	0.4165216	0.4044863	0.0024955	0.4020202	-0.0025883	0.4642161	0.4238011	0.4044544	0.0056599	0.3820112	0.0183297	
39	0.1389854	0.3963666	0.0000000	0.4026740	0.2777776	0.2669830	0.0011091	0.2658094	-0.0024944	0.3902145	0.2792696	0.2776282	0.0025155	0.2743991	0.0022600	
40	0.3474635	0.5284889	0.0000000	0.3889639	0.6937197	0.6295225	0.0069319	0.6220289	-0.0019972	0.4605235	0.7727287	0.8777706	0.0157218	0.7402950	0.1233000	
41	0.0694927	0.4954583	0.0000000	0.3854346	0.1389371	0.1237435	0.0002773	0.1232042	-0.0022970	0.4095140	0.1362172	0.1372419	0.0006289	0.1363843	0.0017751	
42	0.7644197	0.4789430	0.0000000	0.4215572	1.5229960	1.5083000	0.0335505	1.4733820	-0.0011917	0.4509269	1.6090840	1.6778260	0.0760938	1.5096410	0.0936376	
43	0.3474635	0.5615194	0.0000000	0.4301078	0.6937197	0.6839381	0.0069319	0.6764199	-0.0019727	0.4660660	0.8045323	0.8564871	0.0157218	0.7400906	0.1022210	
44	0.0694927	0.5119736	0.0000000	0.3871958	0.1389371	0.1238215	0.0002773	0.1232967	-0.0023114	0.4192240	0.1396858	0.1408776	0.0006289	0.1366399	0.0051552	
45	0.0694927	0.4293972	0.0000000	0.4096291	0.1389371	0.1345486	0.0002773	0.1340600	-0.0023476	0.4106481	0.1484719	0.1460167	0.0006289	0.1448450	0.0020891	
46	0.1389854	0.4789430	0.0000000	0.3799782	0.2777776	0.2418721	0.0011091	0.2405148	-0.0023108	0.3752172	0.2366714	0.2334793	0.0025155	0.2294558	0.0030543	
47	0.2779708	0.5450041	0.0000000	0.3907321	0.5551689	0.4989251	0.0044364	0.4942958	-0.0023661	0.4402458	0.5648131	0.5743880	0.0100620	0.5456125	0.0202598	
48	0.1389854	0.5284889	0.0000000	0.4304117	0.2777776	0.2809508	0.0011091	0.2741726	0.0031102	0.4623662	0.3286837	0.3830924	0.0025155	0.3048674	0.0772558	
49	0.0694927	0.6275805	0.0000000	0.4381750	0.1389371	0.1380232	0.0002773	0.1375524	-0.0023653	0.4947778	0.1695319	0.1609426	0.0006289	0.1516129	0.0102472	
50	0.2084781	0.6606111	0.0000000	0.4031160	0.4165216	0.3819229	0.0024955	0.3795947	-0.0027262	0.4923326	0.5198495	0.5118642	0.0056599	0.4648074	0.0429432	
51	0.2779708	0.6275805	0.0000000	0.4535910	0.5551689	0.5880869	0.0044364	0.5581817	0.0229099	0.5119723	0.6595544	0.6175445	0.0100620	0.5834166	0.0256121	
52	0.1389854	0.4624277	0.0000000	0.3804824	0.2777776	0.2479029	0.0011091	0.2465330	-0.0022982	0.4308406	0.2876859	0.2670258	0.0025155	0.2525305	0.0135261	
